__________,
Row Labels,Average of reviews.rating
Amazon,4.585303127
"Amazon Digital Services, Inc",3.380952381
Grand Total,4.584572732
,
,
Row Labels,Average of reviews.rating
Amazon,4.585303127
"Amazon Digital Services, Inc",3.380952381
Grand Total,4.584572732
